time,BMP,CTG,GAS,SSI,VND
21/05/2012,7270,10500,16660,4490,1320
22/05/2012,7400,10210,17470,4510,1320
23/05/2012,7320,9930,16610,4320,1230
24/05/2012,6960,9640,15800,4180,1250
25/05/2012,7070,10120,15840,4380,1300
28/05/2012,6730,9970,15270,4510,1260
29/05/2012,6870,9780,14910,4510,1270
30/05/2012,6860,9880,15360,4530,1280
31/05/2012,6630,9730,15110,4400,1220
01/06/2012,6630,9780,15110,4360,1230
04/06/2012,6500,9490,14460,4180,1160
06/06/2012,6890,9730,14540,4380,1240
07/06/2012,6910,9780,15230,4550,1300
08/06/2012,6910,9780,15230,4450,1260
11/06/2012,6840,10260,14950,4490,1280
12/06/2012,6840,10310,14750,4450,1230
13/06/2012,6820,10400,14790,4420,1240
14/06/2012,6960,10260,14790,4360,1240
15/06/2012,7070,10160,15070,4510,1260
18/06/2012,7090,10120,15400,4570,1280
19/06/2012,7050,9930,15400,4470,1240
20/06/2012,6920,9930,15600,4490,1250
21/06/2012,6990,10020,15640,4450,1250
22/06/2012,7090,9970,15680,4450,1200
25/06/2012,6960,9780,15400,4360,1150
26/06/2012,6940,9640,15400,4220,1110
27/06/2012,7040,9590,15440,4200,1060
28/06/2012,6990,9590,15640,4180,1110
29/06/2012,6780,9590,15600,4240,1070
02/07/2012,6710,9540,15640,4100,1020
03/07/2012,6920,9490,15680,3940,1010
05/07/2012,6910,9490,15560,4040,1050
06/07/2012,6890,9540,15560,4059,1050
09/07/2012,6890,9540,15440,3920,980
11/07/2012,6860,9590,15360,3920,980
12/07/2012,6890,9690,15400,3960,1030
13/07/2012,6910,9830,15480,4120,1100
16/07/2012,6910,10120,15560,4040,1060
17/07/2012,7150,10120,15560,4220,1130
18/07/2012,7070,10260,15600,4260,1130
19/07/2012,7400,10350,16290,4470,1200
20/07/2012,7630,9930,16090,4400,1190
23/07/2012,7650,9930,16000,4320,1180
24/07/2012,7460,9780,15680,4180,1110
25/07/2012,7350,9780,15680,4160,1110
26/07/2012,7350,9830,15800,4240,1150
27/07/2012,7240,9830,15760,4180,1140
30/07/2012,7270,9830,15920,4180,1150
31/07/2012,7280,9930,15800,4200,1140
02/08/2012,7350,9930,15960,4120,1130
03/08/2012,7710,9880,15960,4120,1150
06/08/2012,7990,9880,16000,4280,1220
08/08/2012,7810,9930,15880,4240,1200
10/08/2012,7810,10120,15880,4260,1200
13/08/2012,7730,10120,15880,4240,1180
14/08/2012,7880,10070,15920,4300,1180
15/08/2012,7880,10120,16000,4260,1190
16/08/2012,8160,10160,16290,4240,1180
17/08/2012,8170,10260,16900,4280,1190
20/08/2012,8060,10350,17020,4340,1220
21/08/2012,7660,9880,16210,4140,1130
22/08/2012,7650,9880,16450,3940,1080
23/08/2012,7270,9400,15640,3750,1000
24/08/2012,7600,9780,16050,3880,1070
27/08/2012,7220,9300,15270,3690,990
28/08/2012,7200,9070,15560,3690,1010
29/08/2012,7450,9110,16329,3880,1080
30/08/2012,7300,9210,16660,3880,1080
31/08/2012,7320,9110,16990,3830,1050
04/09/2012,7520,9260,17110,3880,1060
05/09/2012,7730,9300,16900,3770,1020
07/09/2012,7740,9300,17030,3710,1020
10/09/2012,7400,8880,16610,3530,970
11/09/2012,7320,8970,16740,3450,970
13/09/2012,7260,8970,17200,3530,1020
14/09/2012,7420,9400,17400,3630,1030
17/09/2012,7120,9450,17200,3590,1010
18/09/2012,6770,9110,16740,3430,960
19/09/2012,6520,8880,16950,3470,980
20/09/2012,6540,8540,16660,3360,980
21/09/2012,6590,8730,16660,3430,980
24/09/2012,6560,8540,16160,3340,950
25/09/2012,6610,8540,16570,3360,960
26/09/2012,6590,8640,16660,3410,970
27/09/2012,6590,8490,16320,3340,940
28/09/2012,6610,8400,16700,3320,930
01/10/2012,6590,8160,16110,3200,880
02/10/2012,6770,8020,16110,3140,880
04/10/2012,6740,8020,16160,3220,900
05/10/2012,6720,8020,16490,3220,910
08/10/2012,6820,8160,16530,3360,970
09/10/2012,6810,8109,16530,3380,980
10/10/2012,6770,8109,16530,3430,990
12/10/2012,6740,8109,16400,3430,970
15/10/2012,6770,8060,16110,3360,950
16/10/2012,6930,8350,16239,3490,1010
17/10/2012,6910,8060,16200,3410,990
18/10/2012,6700,8210,16200,3410,990
19/10/2012,6750,8020,16570,3300,940
22/10/2012,6820,8260,16400,3260,920
23/10/2012,6910,8260,16660,3260,930
24/10/2012,7050,8260,16570,3260,910
25/10/2012,6930,8210,16360,3200,900
26/10/2012,6950,8160,16360,3260,900
29/10/2012,6930,8160,16450,3220,890
30/10/2012,6890,8109,16490,3220,900
31/10/2012,6880,8160,16450,3220,900
01/11/2012,6910,8160,16450,3220,890
05/11/2012,6750,8160,16200,3080,820
06/11/2012,6820,8060,16239,3060,820
07/11/2012,6840,8450,16239,3120,840
09/11/2012,6860,9070,16239,3140,860
12/11/2012,6860,9070,16239,3260,890
13/11/2012,6910,8730,16239,3220,870
14/11/2012,7210,9070,16239,3220,870
15/11/2012,7260,9160,16200,3200,840
16/11/2012,7210,9020,16239,3220,860
19/11/2012,7020,8830,16160,3200,840
20/11/2012,6950,8880,16200,3240,860
21/11/2012,7050,9020,16160,3240,840
22/11/2012,7230,9020,16239,3240,860
23/11/2012,7230,8970,16239,3200,840
26/11/2012,7190,8730,16160,3110,840
27/11/2012,7120,8730,16160,3090,820
28/11/2012,7140,8730,16200,3070,820
29/11/2012,7230,8780,16160,3110,840
30/11/2012,7230,8780,16160,3090,840
03/12/2012,7140,9160,16200,3090,840
04/12/2012,7160,9020,16620,3130,870
06/12/2012,7210,9110,16500,3160,890
07/12/2012,7210,9260,16450,3110,890
10/12/2012,7210,9300,16500,3200,940
11/12/2012,7210,9450,16620,3160,940
12/12/2012,7560,9490,16620,3290,960
13/12/2012,7740,9690,16500,3240,950
14/12/2012,7420,9730,16500,3260,950
17/12/2012,7560,9260,16580,3290,950
18/12/2012,7490,8830,16620,3260,940
19/12/2012,7550,8450,16580,3370,970
20/12/2012,7480,8830,16450,3350,940
21/12/2012,7350,9260,16320,3330,930
24/12/2012,7550,9020,16580,3440,970
25/12/2012,7550,9350,16580,3420,960
26/12/2012,7490,9690,16620,3500,990
27/12/2012,7600,9690,16620,3500,970
28/12/2012,7850,9880,16500,3550,1000
02/01/2013,7760,10070,16670,3660,1030
03/01/2013,7920,9970,16670,3570,1000
04/01/2013,7930,10020,17050,3610,1050
07/01/2013,8010,10070,17050,3610,1010
08/01/2013,8390,10160,17440,3760,1030
10/01/2013,8660,10880,17440,3900,1050
11/01/2013,8530,10640,18290,3940,1030
14/01/2013,8460,10540,18890,3900,1050
15/01/2013,8410,10690,18500,4000,1120
16/01/2013,8380,10740,18680,4050,1090
17/01/2013,8290,10590,17950,3940,1070
18/01/2013,8460,10450,17780,3850,1070
21/01/2013,8590,10210,17390,3870,1030
22/01/2013,8620,10020,17390,3740,1010
23/01/2013,8640,9970,17390,3760,1020
24/01/2013,8800,10120,17910,3870,1060
25/01/2013,9260,10780,19150,4000,1050
28/01/2013,9520,10930,19440,4110,1080
29/01/2013,9080,11210,19440,4140,1090
30/01/2013,9430,11160,19660,4140,1090
31/01/2013,9170,10980,19100,4050,1060
01/02/2013,8990,11160,19230,4030,1060
04/02/2013,9170,10980,19660,4050,1030
05/02/2013,9350,10880,19440,4050,1020
07/02/2013,9520,11160,19740,4220,1110
08/02/2013,9700,11310,19960,4220,1140
18/02/2013,9870,11210,19960,4260,1180
19/02/2013,9790,11070,19660,4200,1150
20/02/2013,9700,11070,19830,4200,1180
21/02/2013,9350,10830,19660,3920,1070
22/02/2013,9520,10690,19700,3980,1090
25/02/2013,9610,10500,19790,3980,1080
26/02/2013,9080,9780,19230,3760,980
27/02/2013,9350,10070,19700,3870,1020
28/02/2013,9520,9540,19660,3940,1010
01/03/2013,9520,9690,19790,3940,1020
04/03/2013,9080,9160,19530,3760,960
05/03/2013,8990,8880,19320,3740,950
06/03/2013,8990,8970,19620,3810,970
07/03/2013,9170,9020,19490,3790,940
12/03/2013,9350,9350,19570,3920,1010
13/03/2013,9700,9300,19570,3870,980
14/03/2013,10320,9070,19570,3870,990
15/03/2013,10930,9070,19530,3920,1010
18/03/2013,10840,9490,20090,3870,980
19/03/2013,10840,9260,20940,3900,980
20/03/2013,10760,9260,22010,3900,990
21/03/2013,11110,9160,21370,3940,980
22/03/2013,10930,9070,21580,3870,980
25/03/2013,10930,9070,21370,3900,980
26/03/2013,11640,9110,21320,3870,970
27/03/2013,11550,9070,22220,3810,950
28/03/2013,11550,8970,22650,3790,940
29/03/2013,11460,8970,22860,3810,940
01/04/2013,12250,9110,24360,3920,980
02/04/2013,11900,9540,23930,3920,970
03/04/2013,11990,9450,23500,3900,980
04/04/2013,11550,9540,22440,3850,960
09/04/2013,11900,9400,24150,4140,970
10/04/2013,11990,9260,23500,4030,960
11/04/2013,11990,9210,24570,3980,960
12/04/2013,12170,9160,23720,3870,940
15/04/2013,11810,8880,23720,3790,920
16/04/2013,11640,8880,23500,3790,930
17/04/2013,11460,8920,23720,3810,930
18/04/2013,11810,8780,23080,3740,910
22/04/2013,11640,8640,22650,3680,910
23/04/2013,11640,8730,23080,3720,920
24/04/2013,11810,8680,23290,3740,920
25/04/2013,11810,8730,23080,3740,920
26/04/2013,11640,8780,22650,3720,910
02/05/2013,11460,8730,22650,3700,910
03/05/2013,11460,8920,22650,3720,910
06/05/2013,11550,9070,23720,3900,960
07/05/2013,11640,8970,23080,3810,940
08/05/2013,11720,8780,23290,3760,930
09/05/2013,11720,8830,23290,3810,930
13/05/2013,11550,8830,23290,3810,940
14/05/2013,11370,8880,23500,3760,920
15/05/2013,11460,8920,23720,3790,920
16/05/2013,11460,8920,23940,3790,930
17/05/2013,11280,8970,23720,3760,930
20/05/2013,11370,8970,23940,3790,940
21/05/2013,11810,9020,24810,3900,960
22/05/2013,11900,8970,24810,3900,960
23/05/2013,11990,8830,25250,3850,940
24/05/2013,12340,8880,25460,3900,950
27/05/2013,12610,8880,26550,4000,990
28/05/2013,12700,8880,26990,4090,1000
29/05/2013,12610,8880,26340,4140,1000
30/05/2013,12700,8880,26770,4180,1020
31/05/2013,12610,8970,26340,4140,1000
03/06/2013,12700,8970,26120,4050,980
05/06/2013,12870,8830,26340,4050,980
06/06/2013,13400,9400,26990,4070,980
11/06/2013,14720,9300,27200,4050,1010
12/06/2013,15690,9300,27200,4050,1020
13/06/2013,16129,9210,27200,4030,1020
14/06/2013,15780,9210,26990,4000,1020
17/06/2013,14810,9020,26120,3920,990
18/06/2013,14810,9020,25900,3960,1010
19/06/2013,15730,9350,26340,3940,990
20/06/2013,15260,9260,25900,3900,980
21/06/2013,14790,9300,25900,3870,970
24/06/2013,14790,9350,25250,3870,950
25/06/2013,14090,9110,24160,3790,940
26/06/2013,14090,9350,24810,3760,940
27/06/2013,14440,9590,25680,3850,960
28/06/2013,14910,9540,25250,3830,960
01/07/2013,15030,9300,25900,3830,960
02/07/2013,15380,9300,26340,3850,980
03/07/2013,15380,9350,26120,3830,980
05/07/2013,15380,9300,25680,3830,960
08/07/2013,15260,9350,25250,3790,960
10/07/2013,15030,9350,26120,3790,960
11/07/2013,15030,9300,26120,3870,950
15/07/2013,15260,9540,27640,3940,960
16/07/2013,15380,9490,28080,3940,990
17/07/2013,15500,9540,28080,3960,980
18/07/2013,16320,9400,28080,3940,970
19/07/2013,17140,9450,28510,3960,960
22/07/2013,17490,9350,28510,3900,960
23/07/2013,17140,9490,28290,3940,940
24/07/2013,16910,9300,27420,3870,940
25/07/2013,16910,9300,27420,3830,930
26/07/2013,16910,9300,27860,3800,920
